Age,YearsProgram,Currency,HaveWorkedLanguage,WantWorkLanguage,Salary
,19 to 20 years,NA,NA,NA,NA
,7 to 8 years,U.S. dollars ($),C++; Java; JavaScript,C++; Elixir; Java; Swift,1.10E+05
,20 or more years,NA,C,C; C++; Python,NA
,1 to 2 years,Euros (€),C; PHP; SQL,Assembly; C; C++; PHP; SQL,NA
,4 to 5 years,NA,Assembly; C; C++; JavaScript; PHP; Python; Rust,Assembly; C; C++; JavaScript; PHP; Python; Rust,NA
,20 or more years,NA,C#; Clojure; JavaScript; SQL; TypeScript,C#; Clojure; JavaScript; Python; SQL; TypeScript,NA
,19 to 20 years,Euros (€),Java; JavaScript; VB.NET,C#; Go; Haskell; TypeScript,19268.8172
,3 to 4 years,NA,Java; JavaScript; Python,C++; PHP; Python; SQL; VBA,NA
,2 to 3 years,NA,NA,NA,NA
,4 to 5 years,U.S. dollars ($),CoffeeScript; Go; JavaScript; Matlab; PHP; Python; R; Ruby,C; Java; JavaScript; Python,9.00E+04
,20 or more years,NA,NA,NA,NA
,20 or more years,NA,C++; Java,C++; Java,NA
,NA,NA,NA,NA,NA
,2 to 3 years,U.S. dollars ($),C++; Java; Python; SQL,C++; C#; Go; Haskell; Java; JavaScript; PHP; Python; SQL; Swift,NA
,9 to 10 years,Euros (€),CoffeeScript; Go; JavaScript; PHP; Python; TypeScript,Go; TypeScript,NA
,2 to 3 years,Canadian dollars (C$),JavaScript; Ruby,Elixir; JavaScript,64393.93939
,14 to 15 years,Canadian dollars (C$),C++; C#; JavaScript; PHP; Python; SQL,C++; C#; Go; JavaScript; Python; SQL; TypeScript,60606.06061
,9 to 10 years,NA,Assembly; C; C++; Go; Java,C; C++; Go,NA
,16 to 17 years,NA,NA,NA,NA
,12 to 13 years,NA,C; C++; C#; Java; JavaScript; Objective-C; PHP; SQL; VB.NET,C; C++; C#; Java; JavaScript; PHP; SQL,NA
,6 to 7 years,Canadian dollars (C$),C#; JavaScript; PHP; SQL; VB.NET,Assembly; C; C++; Dart; Go; Java; JavaScript; PHP; Python; SQL,NA
,3 to 4 years,NA,Assembly; C; C#; Java; JavaScript; PHP; SQL; VB.NET,Python; Ruby,NA
,Less than a year,NA,NA,NA,NA
,1 to 2 years,U.S. dollars ($),Java; JavaScript; Ruby,C; C++; Java; JavaScript; Python; Ruby; Swift,NA
,7 to 8 years,NA,Java,Java,NA
,Less than a year,NA,NA,NA,NA
,15 to 16 years,U.S. dollars ($),NA,NA,NA
,1 to 2 years,U.S. dollars ($),C; Python,Go; Java,NA
,4 to 5 years,NA,C; C#; Java,C++; C#; JavaScript; Python; SQL,NA
,5 to 6 years,NA,NA,NA,NA
,20 or more years,U.S. dollars ($),C#; JavaScript; SQL,C#; Java; JavaScript; SQL,1.20E+05
,20 or more years,NA,C; C++; C#,NA,NA
,4 to 5 years,NA,Go; Java; JavaScript,Go; Java; JavaScript,NA
,9 to 10 years,NA,Java; JavaScript; SQL,Java; JavaScript; Matlab; PHP; Python; R; SQL,NA
,20 or more years,NA,NA,NA,NA
,Less than a year,NA,Java,Java,NA
,5 to 6 years,NA,NA,NA,NA
,10 to 11 years,NA,Java; SQL,Java; Python; Rust; Scala; Swift,NA
,4 to 5 years,Canadian dollars (C$),JavaScript; Objective-C; Swift,NA,74242.42424
,20 or more years,NA,NA,NA,NA
,9 to 10 years,NA,Objective-C; Ruby; Swift,C++; Elixir; Go; Haskell; Ruby; Rust; Swift,NA
,1 to 2 years,NA,NA,NA,NA
,2 to 3 years,U.S. dollars ($),NA,NA,NA
,6 to 7 years,Euros (€),C++; C#; Clojure; Java; Python; SQL,C++; C#; Python; SQL,NA
,6 to 7 years,NA,Assembly; C; C++; Java,Assembly; C; C++; Haskell; JavaScript; Rust; SQL; TypeScript,NA
,18 to 19 years,U.S. dollars ($),C; C++; C#; Python; SQL,C; C#; Python; SQL,NA
,1 to 2 years,NA,NA,NA,NA
,1 to 2 years,NA,NA,NA,NA
,20 or more years,NA,NA,NA,NA
,1 to 2 years,NA,VBA,C#; VBA,NA
,4 to 5 years,British pounds sterling (£),Java,C++; C#; Java; JavaScript; SQL,NA
,9 to 10 years,Canadian dollars (C$),C++; C#; Go; Java; JavaScript; Lua; Matlab; Python; VB.NET; VBA,Go; Java; Scala,NA
,15 to 16 years,U.S. dollars ($),Java; JavaScript,NA,1.10E+05
,Less than a year,U.S. dollars ($),Python,NA,NA
,11 to 12 years,NA,JavaScript; Objective-C; PHP; SQL; Swift,JavaScript; Python; R; SQL; Swift,NA
,11 to 12 years,NA,C#,C; C#; Python,NA
,9 to 10 years,NA,NA,NA,NA
,5 to 6 years,NA,NA,NA,NA
,7 to 8 years,Brazilian reais (R$),C; C++; Go; JavaScript; PHP; Python,C; C++; Python; R; Scala,30573.24841
,7 to 8 years,NA,NA,NA,NA
,19 to 20 years,British pounds sterling (£),C++; Go; JavaScript; Python,C++; Clojure; Go; Python; Scala,133125
,9 to 10 years,NA,C++; Java; JavaScript; Lua; Objective-C,C++; Lua,NA
,3 to 4 years,Indian rupees (?),NA,NA,NA
,4 to 5 years,British pounds sterling (£),JavaScript; Perl; PHP; SQL,JavaScript; Perl; PHP; SQL,5.00E+04
,20 or more years,Canadian dollars (C$),C; C++; Java,C; C++; Java; Objective-C; Python,61363.63636
,3 to 4 years,NA,NA,NA,NA
,6 to 7 years,Brazilian reais (R$),C; Python,Java; Python; Swift,NA
,10 to 11 years,NA,C#; JavaScript; PHP; Python; SQL,C#; JavaScript; PHP; Python; SQL,NA
,2 to 3 years,Japanese yen (¥),Assembly; C; C++; Objective-C; PHP,Java; JavaScript; Objective-C; PHP; Swift,1737.166681
,10 to 11 years,NA,Python,JavaScript; Python,NA
,4 to 5 years,U.S. dollars ($),JavaScript,JavaScript; Lua; Python,NA
,6 to 7 years,Singapore dollars (S$),C++; Java; JavaScript; PHP; SQL,C++; Java; JavaScript; Objective-C; PHP; SQL; Swift,NA
,Less than a year,NA,Java; JavaScript; PHP,Assembly; C; C++; C#; CoffeeScript; Common Lisp; Clojure; Dart; Elixir; Erlang; F#; Go; Groovy; Hack; Haskell; Julia; Lua; Matlab; Objective-C; Perl; Python; R; Ruby; Rust; Scala; Smalltalk; SQL; Swift; TypeScript; VB.NET; VBA; Visual Basic 6,NA
,5 to 6 years,NA,NA,NA,NA
,14 to 15 years,NA,NA,NA,NA
,7 to 8 years,NA,NA,NA,NA
,11 to 12 years,NA,C++; CoffeeScript; Java; JavaScript,Haskell; Java,NA
,19 to 20 years,NA,NA,NA,NA
,Less than a year,NA,NA,NA,NA
,6 to 7 years,NA,Assembly; C; Groovy; Java; JavaScript; Matlab; Python; TypeScript,C; C++; Java,NA
,4 to 5 years,U.S. dollars ($),PHP; Python; SQL,JavaScript; PHP; Python; Swift,NA
,19 to 20 years,NA,NA,NA,NA
,3 to 4 years,NA,NA,NA,NA
,3 to 4 years,U.S. dollars ($),Haskell; Ruby; Scala,Haskell; Ruby; Scala,7.50E+04
,2 to 3 years,NA,C#; Java; JavaScript,JavaScript; Python,NA
,4 to 5 years,NA,Python,C; C++; Java; JavaScript; Rust,NA
,9 to 10 years,Singapore dollars (S$),JavaScript; PHP; SQL,Haskell; Java; Objective-C; Rust; Swift; VB.NET,NA
,5 to 6 years,NA,JavaScript; PHP,C#; Python; SQL,NA
,8 to 9 years,Euros (€),NA,Python,NA
,12 to 13 years,NA,NA,NA,NA
,20 or more years,NA,Assembly; C++; C#; Java; JavaScript; Objective-C; PHP; Python; SQL; Swift; TypeScript,C#; Erlang; Go; Java; JavaScript; Objective-C; SQL; Swift; TypeScript,NA
,2 to 3 years,NA,NA,NA,NA
,4 to 5 years,NA,JavaScript; PHP; SQL,C#; Java; Matlab; TypeScript; VB.NET,NA
,20 or more years,U.S. dollars ($),Go; JavaScript; PHP; Python; SQL,C#; Go; Python; TypeScript,9.00E+04
,20 or more years,U.S. dollars ($),Java; JavaScript,Java; JavaScript,NA
,8 to 9 years,U.S. dollars ($),C++; Hack; JavaScript; PHP; Python; Ruby,Go; Rust,1.15E+05
,20 or more years,Canadian dollars (C$),NA,NA,NA
,20 or more years,Russian rubles (?),JavaScript; Python,Python,NA
,10 to 11 years,NA,Java; JavaScript; TypeScript,Java; JavaScript; TypeScript,NA
,5 to 6 years,NA,Go; Python,Go; Haskell; Rust,NA
,2 to 3 years,Canadian dollars (C$),Java,NA,53030.30303
,20 or more years,U.S. dollars ($),C++; JavaScript; Matlab; Python; Scala; SQL; TypeScript,C++; JavaScript; Matlab; Python; SQL; TypeScript,NA
,12 to 13 years,NA,C; Haskell; Objective-C; Ruby; Swift,Haskell; Python; R; Ruby; Scala; SQL,NA
,1 to 2 years,NA,NA,NA,NA
,Less than a year,NA,NA,NA,NA
,1 to 2 years,Canadian dollars (C$),C; C++; Java; JavaScript; PHP; Python; Swift,Java; Python; Swift,NA
,7 to 8 years,NA,NA,NA,NA
,15 to 16 years,NA,PHP; Ruby,Haskell; Ruby,NA
,15 to 16 years,NA,JavaScript; Python,JavaScript; Python,NA
,Less than a year,NA,NA,NA,NA
,6 to 7 years,NA,JavaScript; Python,Go; JavaScript; Python; Ruby; Rust,NA
,11 to 12 years,NA,NA,NA,NA
,8 to 9 years,NA,C; C++; JavaScript; PHP; SQL,JavaScript; Lua; Perl; PHP; Python; SQL,8878.923767
,6 to 7 years,NA,C#; Java; JavaScript; SQL; TypeScript,Java; JavaScript; Swift,NA
,2 to 3 years,NA,NA,NA,NA
,9 to 10 years,NA,JavaScript; TypeScript,JavaScript,NA
,9 to 10 years,NA,C#; Java; JavaScript; Scala; SQL,C#; Clojure; Elixir; JavaScript; Python; R; Scala; SQL,NA
,9 to 10 years,NA,C#,C#,57142.85714
,20 or more years,NA,Swift,Swift,NA
,1 to 2 years,NA,NA,NA,NA
,20 or more years,NA,SQL,C#; SQL,NA
,20 or more years,U.S. dollars ($),C#; JavaScript; Python; SQL; TypeScript; VB.NET,C#; JavaScript; Python; SQL; TypeScript; VB.NET,NA
,20 or more years,U.S. dollars ($),JavaScript; Ruby; Swift,Elixir; Ruby; Scala; Swift,1.55E+05
,4 to 5 years,NA,NA,NA,NA
,1 to 2 years,NA,NA,NA,NA
,10 to 11 years,Canadian dollars (C$),C++; Java; JavaScript,C++; JavaScript; Scala,68181.81818
,20 or more years,NA,C#; JavaScript; SQL; VB.NET,C#; JavaScript; PHP; SQL,NA
,20 or more years,NA,C++; C#; Java; JavaScript,Java; JavaScript,NA
,1 to 2 years,NA,Go; Python,C; Go,NA
,3 to 4 years,Japanese yen (¥),C#; Java; JavaScript; PHP; SQL; Swift,C#; Java; JavaScript; PHP; SQL; Swift,NA
,4 to 5 years,NA,NA,NA,NA
,8 to 9 years,NA,NA,NA,NA
,4 to 5 years,NA,NA,NA,NA
,10 to 11 years,Chinese yuan renminbi (¥),JavaScript; PHP; SQL,JavaScript; PHP; TypeScript,34883.72093
,20 or more years,NA,CoffeeScript; Java; JavaScript; Objective-C; Ruby; SQL; Swift,Elixir; Java; JavaScript; TypeScript,NA
,7 to 8 years,NA,Java,Java; Swift,NA
,3 to 4 years,U.S. dollars ($),C++; Java; JavaScript; PHP; SQL; VB.NET,C++; Java; JavaScript; PHP; SQL; VB.NET,NA
,5 to 6 years,Japanese yen (¥),C++,JavaScript; Python,21714.58351
,6 to 7 years,U.S. dollars ($),JavaScript; Ruby; SQL,NA,NA
,20 or more years,NA,Python; SQL; VB.NET; VBA,Haskell; Java,NA
,8 to 9 years,NA,NA,NA,NA
,9 to 10 years,U.S. dollars ($),Assembly; C; C++; JavaScript; Lua; PHP; Python; Rust; SQL,Assembly; C; Rust,8.00E+04
,7 to 8 years,NA,NA,NA,NA
,7 to 8 years,Euros (€),Java; JavaScript; SQL,Java,32258.06452
,3 to 4 years,NA,Python; R; SQL,C; C++; Java; JavaScript; Python; R; SQL,NA
,13 to 14 years,Canadian dollars (C$),JavaScript; PHP; Python; SQL,C++; JavaScript; PHP; Python; SQL; Swift,NA
,10 to 11 years,NA,C; C++; Java; Matlab; Python,C; C++; C#; Python,NA
,20 or more years,NA,NA,NA,NA
,14 to 15 years,NA,JavaScript; Ruby,JavaScript; Ruby,NA
,5 to 6 years,NA,NA,NA,NA
,12 to 13 years,U.S. dollars ($),C++,C++; C#; Rust,NA
,2 to 3 years,Indian rupees (?),Perl,Python,NA
,1 to 2 years,Bitcoin (btc),Java; Python; SQL,NA,NA
,8 to 9 years,NA,NA,NA,NA
,4 to 5 years,NA,Objective-C,TypeScript,NA
,17 to 18 years,U.S. dollars ($),Erlang; Java; JavaScript; Swift,PHP; Scala; TypeScript,1.00E+05
,2 to 3 years,NA,NA,NA,NA
,4 to 5 years,Brazilian reais (R$),Assembly; C; C++; Common Lisp; Java; JavaScript; PHP; Python; SQL,C++; C#; JavaScript; PHP; Python; R; SQL,NA
,1 to 2 years,NA,NA,NA,NA
,Less than a year,NA,NA,NA,NA
,4 to 5 years,NA,C; C++; Erlang; Java; JavaScript; Matlab; PHP; R; SQL,C; C++; C#; Erlang; Java; JavaScript; PHP; Ruby; SQL; VBA; Visual Basic 6,NA
,4 to 5 years,Canadian dollars (C$),C; Java; Python,NA,NA
,10 to 11 years,NA,NA,NA,NA
,9 to 10 years,NA,NA,NA,NA
,9 to 10 years,U.S. dollars ($),Java; JavaScript; SQL,Java; JavaScript; SQL,92500
,2 to 3 years,Canadian dollars (C$),C++; C#,Assembly; JavaScript; Python,NA
,13 to 14 years,NA,C++; C#; Java,C; C++; C#; F#; TypeScript,NA
,1 to 2 years,NA,NA,NA,NA
,15 to 16 years,Indian rupees (?),C; Python,Go; Java; Python,NA
,Less than a year,NA,Java; JavaScript,C++; Java,NA
,Less than a year,U.S. dollars ($),NA,NA,NA
,15 to 16 years,NA,C#; JavaScript; PHP; SQL; TypeScript,C#; JavaScript; PHP; Python; TypeScript,NA
,20 or more years,NA,NA,NA,NA
,3 to 4 years,NA,NA,NA,NA
,20 or more years,U.S. dollars ($),C; C++; Java; Perl; Python; SQL,C; C++; C#; Java; JavaScript; Python; R,7.60E+04
,8 to 9 years,U.S. dollars ($),PHP,PHP; Ruby,NA
,5 to 6 years,Russian rubles (?),C; C++; C#; Java; Objective-C; PHP; R; Ruby; SQL; Swift,C; C++; Elixir; Go; Haskell; Python; Rust; Swift,NA
,14 to 15 years,NA,CoffeeScript; Elixir; Go; JavaScript; TypeScript,Elixir; JavaScript; TypeScript,NA
,14 to 15 years,NA,NA,NA,NA
,20 or more years,U.S. dollars ($),C++; Java; Perl; SQL,C++; Java; JavaScript; Perl; SQL,NA
,14 to 15 years,U.S. dollars ($),NA,NA,NA
,20 or more years,NA,NA,NA,NA
,14 to 15 years,Russian rubles (?),Java; JavaScript; Perl; PHP; SQL,NA,NA
,20 or more years,NA,Python,Python,107142.8571
,4 to 5 years,NA,Assembly; JavaScript,Java; PHP; Python; SQL; VB.NET,NA
,5 to 6 years,NA,C#; Java; JavaScript; SQL,C#; Java; JavaScript; SQL,NA
,17 to 18 years,U.S. dollars ($),Assembly; C++,NA,NA
,3 to 4 years,NA,NA,NA,NA
,6 to 7 years,Euros (€),C#; JavaScript; SQL,C#; JavaScript; Python; SQL,1505.376344
,9 to 10 years,NA,NA,NA,NA
,3 to 4 years,NA,Matlab; Swift,R,NA
,3 to 4 years,Indian rupees (?),NA,NA,0.029364264
,9 to 10 years,Indian rupees (?),PHP; SQL,NA,7487.887241
,19 to 20 years,Euros (€),C#; JavaScript; PHP; Python; SQL,C#; JavaScript,43354.83871
,14 to 15 years,U.S. dollars ($),NA,NA,NA
,11 to 12 years,NA,NA,NA,NA
,7 to 8 years,NA,C++; Java; JavaScript; SQL,C++; Java; Matlab,25841.81676
,14 to 15 years,NA,NA,NA,NA
,10 to 11 years,NA,NA,NA,NA
,8 to 9 years,NA,NA,NA,NA
,20 or more years,NA,NA,NA,NA
,5 to 6 years,NA,NA,NA,NA
,7 to 8 years,Swiss francs,C++; C#; Java; JavaScript; Lua; PHP; Python; SQL; VB.NET,C#; Java; JavaScript; PHP; SQL; VB.NET,NA
,5 to 6 years,NA,PHP; Python,Java; PHP; Python,NA
,18 to 19 years,NA,C++; C#,C++,NA
,11 to 12 years,Euros (€),Go; JavaScript; Python,CoffeeScript; Clojure; JavaScript; Python,NA
,3 to 4 years,NA,C++; Java; JavaScript; SQL; VB.NET,Java; JavaScript; SQL; VB.NET,NA
,12 to 13 years,U.S. dollars ($),NA,NA,1.05E+05
,2 to 3 years,NA,NA,NA,NA
,4 to 5 years,Indian rupees (?),C; C++; Java; Matlab; Python,C++; Java; JavaScript; Python; SQL; Swift; Visual Basic 6,NA
,7 to 8 years,NA,C#,C#,NA
,12 to 13 years,NA,C; C++; Objective-C; Swift,C; C++; Objective-C; Swift,NA
,20 or more years,Bitcoin (btc),Assembly; C; C++; C#; CoffeeScript; Common Lisp; Clojure; Dart; Elixir; Erlang; F#; Go; Groovy; Hack; Haskell; Java; JavaScript; Julia; Lua; Matlab; Objective-C; Perl; PHP; Python; R; Ruby; Rust; Scala; Smalltalk; SQL; Swift; TypeScript; VB.NET; VBA; Visual Basic 6,Assembly; C; C++; C#; CoffeeScript; Common Lisp; Clojure; Dart; Elixir; Erlang; F#; Go; Groovy; Hack; Haskell; Java; JavaScript; Julia; Lua; Matlab; Objective-C; Perl; PHP; Python; R; Ruby; Rust; Scala; Smalltalk; SQL; Swift; TypeScript; VB.NET; VBA; Visual Basic 6,NA
,9 to 10 years,NA,NA,NA,NA
,10 to 11 years,NA,NA,NA,NA
,5 to 6 years,NA,NA,NA,NA
,Less than a year,Indian rupees (?),NA,JavaScript; Matlab; Perl; PHP; Python,NA
,3 to 4 years,Indian rupees (?),Java; Smalltalk,JavaScript; Python,NA
,2 to 3 years,NA,NA,NA,NA
,4 to 5 years,NA,NA,NA,NA
,20 or more years,NA,Visual Basic 6,VB.NET,NA
,13 to 14 years,NA,NA,NA,NA
,6 to 7 years,Euros (€),C; C#; Java; JavaScript; PHP; Python; Ruby; SQL; VB.NET,Assembly; C; C++; CoffeeScript; Go; Haskell; JavaScript; Lua; TypeScript,NA
,1 to 2 years,U.S. dollars ($),Java; JavaScript; PHP; SQL,Java,NA
,9 to 10 years,NA,Python,Perl; Python; R,NA
,8 to 9 years,NA,C#,C++; C#; Python,NA
,6 to 7 years,NA,C; C++; C#; Java; JavaScript; PHP; SQL; TypeScript,C++; Java; JavaScript; SQL; TypeScript,NA
,10 to 11 years,NA,CoffeeScript; JavaScript; Ruby,Objective-C; Swift,NA
,Less than a year,NA,NA,NA,NA
,5 to 6 years,NA,C; C++; Java; JavaScript; PHP; SQL,C++; Java; JavaScript; Python; Scala; SQL,NA
,7 to 8 years,NA,NA,NA,NA
,5 to 6 years,NA,NA,NA,NA
,10 to 11 years,NA,NA,NA,NA
,19 to 20 years,NA,Java,Java,21143.30462
,9 to 10 years,NA,C; C++; Java; PHP; SQL,NA,NA
,20 or more years,Euros (€),C; C++; C#,C++; C#,48387.09677
,6 to 7 years,NA,NA,NA,NA
,9 to 10 years,NA,Python,Python,NA
,19 to 20 years,NA,Java; JavaScript,Java; JavaScript; Matlab; Scala,NA
,20 or more years,NA,NA,NA,NA
,9 to 10 years,NA,Groovy; Java; JavaScript; Lua,Go; Groovy,NA
,5 to 6 years,NA,NA,NA,NA
,Less than a year,NA,Ruby; VB.NET; VBA,Rust; SQL,NA
,15 to 16 years,NA,C++,NA,NA
,10 to 11 years,NA,NA,NA,NA
,1 to 2 years,NA,Java,C++; Clojure; Haskell; Java; Scala,NA
,10 to 11 years,British pounds sterling (£),C#; JavaScript; Swift; VB.NET,C#; CoffeeScript; JavaScript; Objective-C; Swift,46250
,9 to 10 years,NA,NA,NA,NA
,5 to 6 years,NA,NA,NA,NA
,1 to 2 years,NA,NA,NA,NA
,10 to 11 years,NA,NA,NA,NA
,11 to 12 years,NA,C#; JavaScript; Python; SQL,C#; JavaScript; Python; SQL,NA
,8 to 9 years,Euros (€),C#; Java; JavaScript; PHP,Java; JavaScript; PHP,NA
,13 to 14 years,British pounds sterling (£),Elixir; Erlang; Go; Haskell; Java; JavaScript; Ruby; SQL,Elixir; Erlang; Haskell; JavaScript,NA
,4 to 5 years,NA,Java,Java,NA
,11 to 12 years,NA,JavaScript; Matlab; PHP; Ruby; SQL,JavaScript; PHP; Ruby; SQL,NA
,19 to 20 years,Australian dollars (A$),C#; F#; JavaScript; SQL,F#,78030.30303
,20 or more years,Euros (€),C#; JavaScript; SQL,NA,59139.78495
,12 to 13 years,NA,C; C++; Elixir; Erlang; Java; JavaScript; PHP; Python,CoffeeScript; JavaScript; Python,NA
,5 to 6 years,NA,NA,NA,NA
,5 to 6 years,NA,C#; SQL,C#; SQL,NA
,6 to 7 years,NA,C#; JavaScript; PHP; SQL,Java; Python,NA
,7 to 8 years,NA,C; C#; Java; JavaScript; SQL; Swift; TypeScript,Assembly; C; Haskell; TypeScript,NA
,1 to 2 years,NA,C++; C#; Java; JavaScript; Lua; Swift,C++; C#; Lua; Python; Swift,NA
,2 to 3 years,Euros (€),Java; JavaScript; Objective-C; Python; SQL,Swift,80645.16129
,12 to 13 years,NA,NA,NA,NA
,18 to 19 years,Indian rupees (?),JavaScript; Objective-C; PHP,C; C++; Java; Objective-C,3171.340479
,5 to 6 years,NA,NA,NA,NA
,7 to 8 years,NA,Java,NA,NA
,11 to 12 years,NA,Java; SQL,NA,NA
,20 or more years,NA,CoffeeScript; JavaScript; Python,Objective-C; Ruby; Swift,NA
,6 to 7 years,NA,C; Lua; Perl; Python; R; Ruby,C++,NA
,17 to 18 years,U.S. dollars ($),C; C++; JavaScript; Python; Ruby; SQL; Visual Basic 6,C; C++; JavaScript; Ruby; TypeScript,1.20E+05
,20 or more years,British pounds sterling (£),C#; SQL,Java,34262.5
,20 or more years,U.S. dollars ($),C#; Java,C++; C#; Java,NA
,8 to 9 years,Indian rupees (?),Java,Clojure; Go; Java; Python; R,17095.87432
,9 to 10 years,Euros (€),Java; JavaScript; Julia; Python; Rust; Scala; SQL,Python; Rust; Scala; SQL,61290.32258
,17 to 18 years,NA,NA,Go; JavaScript; Python; SQL,NA
,7 to 8 years,NA,C#; JavaScript; SQL,F#,NA
,6 to 7 years,Euros (€),NA,NA,NA
,12 to 13 years,Indian rupees (?),NA,NA,NA
,2 to 3 years,NA,NA,NA,NA
,2 to 3 years,U.S. dollars ($),Assembly; C; C++; Haskell; Java; Python,Objective-C; Python,NA
,19 to 20 years,Euros (€),Java; JavaScript; SQL,Java; JavaScript; SQL,53763.44086
,14 to 15 years,NA,C#; Java; JavaScript; SQL; VB.NET,Java; JavaScript; SQL; TypeScript,NA
,1 to 2 years,Euros (€),Assembly; C; C++; C#; CoffeeScript; Common Lisp; Clojure; Dart; Elixir; Erlang; F#; Go; Groovy; Hack; Haskell; Java; JavaScript; Julia; Lua; Matlab; Objective-C; Perl; PHP; Python; R; Ruby; Rust; Scala; Smalltalk; SQL; Swift; TypeScript; VB.NET; VBA; Visual Basic 6,NA,NA
,20 or more years,Euros (€),C; JavaScript; PHP; Python; SQL,NA,45161.29032
,13 to 14 years,NA,NA,NA,NA
,6 to 7 years,NA,Java; Swift,Java; Swift,NA
,8 to 9 years,NA,C++; Python,C++; Python; SQL,NA
,Less than a year,NA,NA,NA,NA
,20 or more years,NA,NA,NA,NA
,7 to 8 years,British pounds sterling (£),Java; JavaScript; Ruby,Java; JavaScript,NA
,20 or more years,Euros (€),C#; JavaScript,JavaScript; TypeScript,30107.52688
,10 to 11 years,NA,Ruby; SQL,C; Ruby,NA
,3 to 4 years,NA,C; C++; JavaScript; PHP; Python; SQL; Swift,C; C++; C#; Go; Java; JavaScript; Matlab; Objective-C; PHP; Python; R; Ruby; SQL; Swift,NA
,9 to 10 years,British pounds sterling (£),Go; JavaScript; PHP; SQL; TypeScript,Go; PHP; Python; SQL; TypeScript,87500
,1 to 2 years,U.S. dollars ($),JavaScript; PHP,JavaScript; PHP,NA
,6 to 7 years,NA,NA,NA,NA
,13 to 14 years,NA,NA,NA,NA
,6 to 7 years,NA,Assembly,NA,NA
,9 to 10 years,Euros (€),C#; JavaScript; Matlab; Python; SQL,C#; JavaScript,36559.13978
,7 to 8 years,Euros (€),C#; Java; JavaScript; PHP; SQL,C#; Java; PHP; SQL,26881.72043
,2 to 3 years,NA,C#; SQL,C#; SQL,NA
,3 to 4 years,NA,NA,NA,NA
,6 to 7 years,NA,NA,NA,NA
,4 to 5 years,NA,Clojure; Go; Java; JavaScript; Python; TypeScript,JavaScript,21639.34426
,17 to 18 years,NA,C#; JavaScript; PHP; TypeScript,C#; Java; JavaScript; PHP; TypeScript,NA
,2 to 3 years,NA,Swift,Swift,9629.62963
,18 to 19 years,NA,Java; JavaScript; SQL,C#; Java; JavaScript; SQL; TypeScript,NA
,10 to 11 years,Euros (€),C#; VB.NET; VBA,C#; VB.NET,36559.13978
,16 to 17 years,NA,NA,NA,NA
,Less than a year,NA,C#; JavaScript; PHP; SQL; VB.NET,C; C++; CoffeeScript; Java; JavaScript; PHP; Ruby; SQL; VB.NET; VBA; Visual Basic 6,NA
,15 to 16 years,Euros (€),Java; JavaScript; PHP; SQL; TypeScript,NA,43010.75269
,6 to 7 years,NA,NA,NA,NA
,5 to 6 years,NA,NA,NA,NA
,20 or more years,NA,NA,NA,NA
,20 or more years,Euros (€),NA,NA,NA
,20 or more years,Euros (€),Java; JavaScript; SQL; VBA; Visual Basic 6,JavaScript,39784.94624
,6 to 7 years,NA,C#; Java; JavaScript; PHP; SQL; TypeScript; VB.NET; VBA; Visual Basic 6,C#; JavaScript; SQL; TypeScript,NA
,2 to 3 years,NA,NA,NA,NA
,14 to 15 years,NA,NA,NA,NA
,10 to 11 years,Euros (€),C#; JavaScript; SQL,JavaScript,NA
,3 to 4 years,U.S. dollars ($),Objective-C; PHP; Swift,C; C#,2.00E+03
,9 to 10 years,NA,NA,NA,NA
,7 to 8 years,NA,NA,NA,NA
,5 to 6 years,NA,NA,NA,NA
,5 to 6 years,NA,NA,NA,NA
,5 to 6 years,Euros (€),C; C#; Java; Python; SQL,C; C#; SQL,NA
,8 to 9 years,Australian dollars (A$),Objective-C; Swift,Python; Swift,83333.33333
,Less than a year,NA,NA,NA,NA
,6 to 7 years,NA,NA,NA,NA
,3 to 4 years,NA,JavaScript,Elixir; JavaScript; Ruby,NA
,1 to 2 years,NA,Python; SQL; VBA,NA,NA
,1 to 2 years,NA,NA,NA,NA
,17 to 18 years,Euros (€),Java; JavaScript; SQL,Java; JavaScript; SQL,59139.78495
,17 to 18 years,U.S. dollars ($),C#; JavaScript; SQL,C#; Java; JavaScript; PHP; SQL,NA
,2 to 3 years,NA,NA,NA,NA
,5 to 6 years,NA,NA,NA,NA
,1 to 2 years,NA,NA,NA,NA
,6 to 7 years,NA,NA,NA,NA
,20 or more years,NA,NA,NA,NA
,11 to 12 years,Russian rubles (?),C#; JavaScript; SQL,JavaScript,NA
,8 to 9 years,Euros (€),NA,NA,64516.12903
,1 to 2 years,British pounds sterling (£),Java; JavaScript; PHP; Python; SQL,JavaScript; PHP; Python; Ruby,3.00E+04
,1 to 2 years,Indian rupees (?),NA,NA,NA
,1 to 2 years,NA,Java,Java; PHP; Python; Ruby,NA
,2 to 3 years,Euros (€),JavaScript; PHP; SQL,JavaScript; Scala; SQL; Swift,NA
,7 to 8 years,Russian rubles (?),Objective-C; Swift,Objective-C; Swift,12030.07519
,19 to 20 years,NA,C#; SQL,Java; PHP,NA
,5 to 6 years,NA,NA,NA,NA
,5 to 6 years,NA,NA,NA,NA
,3 to 4 years,NA,NA,NA,NA
,14 to 15 years,Euros (€),C; C++; Java; Swift,C; C++; Java; Python; Scala,48387.09677
,1 to 2 years,NA,NA,NA,NA
